id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5345,oceanography,"Marine life research data, ocean floor mapping projects, pollution control initiatives, and maritime law compliance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all pollution control initiatives and their completion dates.,"CREATE TABLE pollution_control_initiatives (initiative_id INT, name TEXT, start_date DATE, completion_date DATE); INSERT INTO pollution_control_initiatives (initiative_id, name, start_date, completion_date) VALUES (1, 'Project A', '2018-01-01', '2019-01-01'), (2, 'Project B', '2019-07-01', '2020-07-01'), (3, 'Project C', '2020-03-15', '2021-03-15');","SELECT name, completion_date FROM pollution_control_initiatives;",This query retrieves the names and completion dates of all pollution control initiatives in the 'pollution_control_initiatives' table. It does not use a CTE and directly selects the 'name' and 'completion_date' columns from the 'pollution_control_initiatives' table.
5346,financial services,"Detailed financial data including investment strategies, risk management, fraud detection, customer analytics, and regulatory compliance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total amount of transactions made by customers from India and Brazil?,"CREATE TABLE transactions (id INT, customer_id INT, amount DECIMAL(10,2), country VARCHAR(50)); INSERT INTO transactions (id, customer_id, amount, country) VALUES (1, 101, 500.00, 'India'), (2, 102, 350.00, 'Brazil'), (3, 103, 700.00, 'India'), (4, 104, 600.00, 'Brazil');","SELECT SUM(amount) FROM transactions WHERE country IN ('India', 'Brazil');",This SQL query calculates the total amount of transactions by summing the 'amount' column for rows with 'country' values of either 'India' or 'Brazil'.
5347,fitness industry,"Workout data, membership demographics, wearable technology metrics, and wellness trends.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average heart rate for each member during a workout?,"CREATE TABLE wearable_metrics (member_id INT, heart_rate INT, workout_date DATE, workout_duration TIME); INSERT INTO wearable_metrics (member_id, heart_rate, workout_date, workout_duration) VALUES (1, 120, '2022-01-01', '01:00:00'), (1, 130, '2022-01-02', '01:30:00'), (2, 140, '2022-01-01', '02:00:00'), (2, 150, '2022-01-03', '01:15:00'), (3, 160, '2022-01-02', '01:00:00'), (3, 170, '2022-01-03', '01:30:00'), (3, 180, '2022-01-04', '02:00:00'), (4, 190, '2022-01-04', '01:15:00');","SELECT member_id, AVG(heart_rate) FROM wearable_metrics GROUP BY member_id;",This SQL query calculates the average heart rate for each member during a workout by grouping the 'wearable_metrics' table by the 'member_id' column and averaging the 'heart_rate' for each group.
5348,public transportation,"Extensive data on route planning, fare collection, vehicle maintenance, and accessibility in public transportation.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all routes with wheelchair accessibility in the 'north' region.,"CREATE TABLE Routes (id INT, region VARCHAR(10), wheelchair_accessible BOOLEAN); INSERT INTO Routes (id, region, wheelchair_accessible) VALUES (1, 'north', true), (2, 'north', false), (3, 'south', true);","SELECT Routes.id, Routes.region FROM Routes WHERE Routes.region = 'north' AND Routes.wheelchair_accessible = true;",This query retrieves all routes in the 'north' region that have wheelchair accessibility by filtering on the region and wheelchair_accessible columns in the Routes table.
5349,sustainable infrastructure,"Green building data, renewable energy infrastructure projects, carbon offset initiatives, and smart city technology adoption.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total installed capacity of renewable energy projects by city?,"CREATE TABLE renewable_energy_projects (project_id INT, project_name VARCHAR(50), city VARCHAR(50), installed_capacity FLOAT); INSERT INTO renewable_energy_projects (project_id, project_name, city, installed_capacity) VALUES (1, 'Solar Farm 1', 'CityA', 10000.0), (2, 'Wind Farm 1', 'CityB', 15000.0), (3, 'Hydro Plant 1', 'CityA', 20000.0);","SELECT city, SUM(installed_capacity) FROM renewable_energy_projects GROUP BY city;",The SQL query calculates the total installed capacity for renewable energy projects in each city by grouping the projects based on the city and summing up their installed capacities.
5350,fine arts,"In-depth data on art history, curation, exhibition, and cultural impact in the fine arts.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Delete the painting 'Guernica' from the 'Paintings' table.,"CREATE TABLE Paintings (PaintingID INT, Title VARCHAR(50), ArtistID INT, YearCreated INT); INSERT INTO Paintings (PaintingID, Title, ArtistID, YearCreated) VALUES (1, 'Starry Night', 1, 1889); INSERT INTO Paintings (PaintingID, Title, ArtistID, YearCreated) VALUES (2, 'Guernica', 2, 1937);",DELETE FROM Paintings WHERE Title = 'Guernica';,The SQL query deletes the row in the 'Paintings' table where the Title is 'Guernica'.
5351,fine arts,"In-depth data on art history, curation, exhibition, and cultural impact in the fine arts.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What are the names and nationalities of artists who have worked with the 'Cubism' style?,"CREATE TABLE artists (id INT, name TEXT, nationality TEXT); INSERT INTO artists (id, name, nationality) VALUES (1, 'Picasso', 'Spanish'), (2, 'Braque', 'French'), (3, 'Gris', 'Spanish'); CREATE TABLE artwork_styles (id INT, artwork_id INT, style TEXT); INSERT INTO artwork_styles (id, artwork_id, style) VALUES (1, 1, 'Cubism'), (2, 2, 'Cubism'), (3, 3, 'Futurism');","SELECT artists.name, artists.nationality FROM artists INNER JOIN artwork_styles ON artists.id = (SELECT artist_id FROM artworks WHERE artwork_styles.id = artwork_id AND style = 'Cubism' LIMIT 1) WHERE artwork_styles.style = 'Cubism';",This query uses a subquery to find the artist_id associated with a Cubism style artwork. It then joins the artists and artwork_styles tables based on this artist_id and selects the name and nationality columns from the artists table where the style is 'Cubism'.
5352,retail,"Retail data on circular supply chains, ethical labor practices, product transparency, and consumer education.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","How many circular supply chain partners does each brand work with, by country?","CREATE TABLE Brands (id INT, brand VARCHAR(255), country VARCHAR(255)); INSERT INTO Brands (id, brand, country) VALUES (1, 'BrandA', 'USA'), (2, 'BrandB', 'Canada'), (3, 'BrandC', 'Mexico'); CREATE TABLE CircularSupplyChain (id INT, brand_id INT, partner_id INT, partner VARCHAR(255), country VARCHAR(255)); INSERT INTO CircularSupplyChain (id, brand_id, partner_id, partner, country) VALUES (1, 1, 1, 'Partner1', 'USA'), (2, 1, 2, 'Partner2', 'USA'), (3, 2, 3, 'Partner3', 'Canada'), (4, 2, 4, 'Partner4', 'Canada'), (5, 3, 5, 'Partner5', 'Mexico'), (6, 3, 6, 'Partner6', 'Mexico');","SELECT c.country, b.brand, COUNT(DISTINCT c.partner_id) AS partner_count FROM CircularSupplyChain c JOIN Brands b ON c.brand_id = b.id GROUP BY c.country, b.brand;","Joins the CircularSupplyChain and Brands tables on the brand_id column. Calculates the number of unique circular supply chain partners that each brand works with, grouped by country using the COUNT function, DISTINCT keyword, and GROUP BY clause."
5353,transportation,"Transportation data on electric vehicle adoption, autonomous vehicles, public transportation systems, and multimodal mobility.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average number of bicycles per station for stations located in urban areas in the bike_stations table?,"CREATE TABLE bike_stations (id INT, location VARCHAR(20), num_bikes INT, urban VARCHAR(5)); INSERT INTO bike_stations (id, location, num_bikes, urban) VALUES (1, 'Station A', 20, 'Yes'), (2, 'Station B', 30, 'Yes'), (3, 'Station C', 15, 'No'), (4, 'Station D', 25, 'No');",SELECT AVG(num_bikes) FROM bike_stations WHERE urban = 'Yes';,This query calculates the average number of bicycles per station for stations located in urban areas by averaging the num_bikes column values using the AVG function.
5354,disability services,"Comprehensive data on disability accommodations, support programs, policy advocacy, and inclusion efforts in disability services.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Update the email of the staff_member with ID 5 to 'new.email@example.com',"CREATE TABLE staff_members (staff_id INT, email VARCHAR(255));",UPDATE staff_members SET email = 'new.email@example.com' WHERE staff_id = 5;,The query updates the email of the staff_member with staff_id 5 to 'new.email@example.com'.
5355,healthcare,"Healthcare data on mental health parity, cultural competency, health equity metrics, and community health workers.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many mental health parity complaints were filed by state in 2020?,"CREATE TABLE MentalHealthParity (ComplaintID INT, State VARCHAR(25), FilingDate DATE); INSERT INTO MentalHealthParity (ComplaintID, State, FilingDate) VALUES (1, 'California', '2020-01-01'), (2, 'New York', '2020-02-01'), (3, 'Texas', '2020-03-01'), (4, 'Florida', '2020-04-01');","SELECT State, COUNT(*) as ComplaintCount FROM MentalHealthParity WHERE YEAR(FilingDate) = 2020 GROUP BY State;","This query counts the number of mental health parity complaints filed by state in 2020. It filters the data by the FilingDate column to only include records from 2020, then groups the data by the State column and counts the number of records in each group."
5356,financial services,"Detailed financial data including investment strategies, risk management, fraud detection, customer analytics, and regulatory compliance.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights","List all transactions made by customers in New York on January 1, 2022.","CREATE TABLE transaction (id INT, customer_id INT, transaction_date DATE, amount DECIMAL(10, 2)); INSERT INTO transaction (id, customer_id, transaction_date, amount) VALUES (1, 1, '2022-01-01', 100.00), (2, 3, '2022-01-02', 200.00);",SELECT * FROM transaction WHERE transaction_date = '2022-01-01' AND customer_id IN (SELECT id FROM customer WHERE address LIKE 'New York%');,"This query lists all transactions made by customers in New York on January 1, 2022. It does this by using the SELECT statement to filter the transaction table for rows where the transaction date is '2022-01-01' and the customer id is in the set of customer ids that have an address starting with 'New York'."
5357,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average dissolved oxygen level for each region?,"CREATE TABLE region (region_id INT, region_name TEXT); INSERT INTO region (region_id, region_name) VALUES (1, 'North Atlantic'), (2, 'South Atlantic'), (3, 'Indian Ocean'); CREATE TABLE measurement (measurement_id INT, region_id INT, dissolved_oxygen FLOAT); INSERT INTO measurement (measurement_id, region_id, dissolved_oxygen) VALUES (1, 1, 6.5), (2, 1, 6.8), (3, 2, 7.1), (4, 2, 6.9), (5, 3, 7.3), (6, 3, 7.2);","SELECT region_id, AVG(dissolved_oxygen) FROM measurement GROUP BY region_id;",The SQL query calculates the average dissolved oxygen level for each region by grouping the measurement table by region_id and applying the AVG function to the dissolved_oxygen column.
5358,higher education,"Graduate student records, research grant data, academic publishing statistics, and faculty diversity metrics.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",How many faculty members in the English department have published in the Journal of English Language and Literature in the current year?,"CREATE TABLE Publications (PublicationID INT, Title VARCHAR(100), Author VARCHAR(50), Year INT, Journal VARCHAR(50), FacultyID INT); CREATE TABLE Faculty (FacultyID INT, FirstName VARCHAR(50), LastName VARCHAR(50), Department VARCHAR(50), Rank VARCHAR(10), Gender VARCHAR(10));",SELECT COUNT(p.FacultyID) as 'Number of Faculty Members' FROM Publications p JOIN Faculty f ON p.FacultyID = f.FacultyID WHERE f.Department = 'English' AND p.Journal = 'Journal of English Language and Literature' AND p.Year = YEAR(GETDATE());,"This query counts the number of faculty members in the English department who have published in the Journal of English Language and Literature in the current year by joining the Publications and Faculty tables on the FacultyID column, filtering the results based on department, journal, and year, and calculating the number of faculty members using the COUNT function."
5359,public transportation,"Extensive data on route planning, fare collection, vehicle maintenance, and accessibility in public transportation.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the minimum time between bus cleanings for each route?,"CREATE TABLE buses (id INT, route_id INT, clean_date DATE); INSERT INTO buses (id, route_id, clean_date) VALUES (1, 101, '2022-01-01'), (2, 102, '2022-01-02'), (3, 103, '2022-01-03');","SELECT route_id, MIN(DATEDIFF('day', LAG(clean_date) OVER (PARTITION BY route_id ORDER BY clean_date), clean_date)) FROM buses GROUP BY route_id;","This SQL query calculates the minimum time between bus cleanings for each route by using the MIN() function to find the minimum number of days between cleanings for each route in the buses table. The LAG() function is used to access the previous clean date for each route, and the DATEDIFF() function is used to find the number of days between the current and previous clean dates. The query then groups the results by route_id and calculates the minimum."
5360,trade unions,"Union membership statistics, collective bargaining data, labor rights advocacy, and workplace safety metrics.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",Calculate the average safety score and number of members for unions with names starting with 'C' in the 'labor_unions' and 'safety_records' tables,"CREATE TABLE labor_unions (id INT, union_name VARCHAR(50), members INT); CREATE TABLE safety_records (id INT, union_id INT, safety_score INT);","SELECT AVG(s.safety_score) AS avg_safety_score, AVG(l.members) AS avg_members FROM labor_unions l JOIN safety_records s ON l.id = s.union_id WHERE l.union_name LIKE 'C%';","This SQL query calculates the average safety_score and average members from the 'safety_records' and 'labor_unions' tables, joining on the 'id' field, filters for union_names starting with 'C', and averages the resulting safety_scores and members."
5361,ethical fashion,"Extensive data on sustainable materials, fair labor practices, circular economy, and consumer awareness in ethical fashion.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total revenue from fair trade certified products in Africa since 2019?,"CREATE TABLE sales (sale_id INT, product_id INT, sale_date DATE, price DECIMAL(5,2), is_fair_trade BOOLEAN);INSERT INTO sales (sale_id, product_id, sale_date, price, is_fair_trade) VALUES (1, 1, '2019-01-01', 20.00, true), (2, 2, '2020-02-01', 30.00, false), (3, 3, '2021-03-01', 40.00, true);",SELECT SUM(price) as total_revenue FROM sales WHERE is_fair_trade = true AND YEAR(sale_date) >= 2019 AND location = 'Africa';,"First, we filter the records from the sales table where the sale is fair trade certified and the sale date is since 2019 in Africa. Then, we calculate the total revenue of these sales using the SUM function."
5362,maritime,"Vessel performance data, cargo tracking, safety records, and regulatory compliance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum speed of all vessels in the Mediterranean Sea during September 2021?,"CREATE TABLE vessel_performance (id INT PRIMARY KEY, name VARCHAR(50), type VARCHAR(50), speed FLOAT, location VARCHAR(50), timestamp DATETIME); INSERT INTO vessel_performance (id, name, type, speed, location, timestamp) VALUES (1, 'VesselG', 'Cargo', 18.2, 'Mediterranean Sea', '2021-09-01 10:00:00'), (2, 'VesselH', 'Tanker', 20.1, 'Mediterranean Sea', '2021-09-01 11:00:00');",SELECT MAX(speed) FROM vessel_performance WHERE location = 'Mediterranean Sea' AND timestamp BETWEEN '2021-09-01' AND '2021-09-30';,"This query calculates the maximum speed for all vessels in the Mediterranean Sea during September 2021. It does this by filtering the data based on the location and timestamp columns, and then calculating the maximum speed."
5363,fine arts,"In-depth data on art history, curation, exhibition, and cultural impact in the fine arts.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average price of artworks exhibited in the 20th century?,"CREATE TABLE Artworks (artwork_id INT, title VARCHAR(50), year_made INT, artist_id INT, price FLOAT); INSERT INTO Artworks (artwork_id, title, year_made, artist_id, price) VALUES (1, 'Still Life with Flowers', 1612, 1, 1000.0); ; CREATE TABLE Exhibitions (exhibition_id INT, exhibition_name VARCHAR(50), start_date DATE, end_date DATE, artwork_id INT); INSERT INTO Exhibitions (exhibition_id, exhibition_name, start_date, end_date, artwork_id) VALUES (1, 'Flower Exhibition', '2000-01-01', '2000-12-31', 1); ;",SELECT AVG(Artworks.price) FROM Artworks INNER JOIN Exhibitions ON Artworks.artwork_id = Exhibitions.artwork_id WHERE Exhibitions.start_date BETWEEN '1900-01-01' AND '1999-12-31';,This query joins the Artworks and Exhibitions tables on the artwork_id column and filters for rows where the artwork was exhibited in the 20th century. It then calculates the average price of the artworks exhibited in the 20th century.
5364,ethical fashion,"Extensive data on sustainable materials, fair labor practices, circular economy, and consumer awareness in ethical fashion.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total production cost of companies with more than 5 sustainable materials?,"CREATE TABLE companies (company_id INT, name TEXT, num_sustainable_materials INT, production_cost FLOAT); INSERT INTO companies (company_id, name, num_sustainable_materials, production_cost) VALUES (1, 'GreenFashions', 6, 15000); INSERT INTO companies (company_id, name, num_sustainable_materials, production_cost) VALUES (2, 'EcoFabrics', 3, 12000);",SELECT SUM(production_cost) FROM companies WHERE num_sustainable_materials > 5;,"The SQL query calculates the total production cost of companies with more than 5 sustainable materials by using the SUM function to find the sum of the production_cost column, filtered by the num_sustainable_materials column set to values greater than 5."
5365,space,"Space data on space exploration, satellite technology, space debris mitigation, and astrobiology.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Who are the top 3 countries with the most astronauts in space?,"CREATE TABLE Astronauts (name TEXT, nationality TEXT, missions INTEGER); INSERT INTO Astronauts (name, nationality, missions) VALUES ('Neil Armstrong', 'USA', 2), ('Buzz Aldrin', 'USA', 2), ('Peggy Whitson', 'USA', 3), ('Yuri Gagarin', 'Russia', 1), ('Valentina Tereshkova', 'Russia', 2), ('Takao Doi', 'Japan', 2), ('Soichi Noguchi', 'Japan', 3), ('Sunita Williams', 'India', 3);","SELECT nationality, COUNT(*) AS missions_count FROM Astronauts GROUP BY nationality ORDER BY missions_count DESC LIMIT 3;",This query groups the Astronauts table by nationality and then counts the number of missions for each nationality. It then orders the result by the mission count in descending order and limits the result to the top three.
5366,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","What is the maximum amount of seafood (in tons) produced by aquaculture farms in South Africa and Kenya, for the year 2020?","CREATE TABLE SeafoodSouthAfricaKenya (id INT, country VARCHAR(50), year INT, tons_produced INT); INSERT INTO SeafoodSouthAfricaKenya (id, country, year, tons_produced) VALUES (1, 'South Africa', 2020, 2000), (2, 'Kenya', 2020, 2100), (3, 'South Africa', 2020, 2200), (4, 'Kenya', 2020, 2300);","SELECT MAX(tons_produced) FROM SeafoodSouthAfricaKenya WHERE country IN ('South Africa', 'Kenya') AND year = 2020;",Determines the maximum amount of seafood produced by aquaculture farms in South Africa and Kenya in 2020 using the max function.
5367,education,"Education data on student mental health, teacher professional development, open pedagogy, and lifelong learning.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the highest-rated open pedagogy resource by users?,"CREATE TABLE open_pedagogy (resource_id INT, rating INT, user_id INT); INSERT INTO open_pedagogy (resource_id, rating, user_id) VALUES (1, 5, 100), (2, 4, 100), (3, 3, 101), (4, 5, 102);","SELECT resource_id, MAX(rating) as highest_rating FROM open_pedagogy GROUP BY resource_id ORDER BY highest_rating DESC LIMIT 1;","Identify the open pedagogy resource with the highest rating. The MAX function finds the highest rating, and LIMIT 1 returns only one row with the highest value."
5368,human resources,"Employee demographics, talent acquisition data, diversity and inclusion metrics, and training program statistics.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all unique departments in the company.,"CREATE TABLE Employees (id INT, name VARCHAR(100), department VARCHAR(50), country VARCHAR(50)); INSERT INTO Employees (id, name, department, country) VALUES (1, 'John Doe', 'IT', 'United States'), (2, 'Jane Smith', 'Marketing', 'Canada'), (3, 'Mike Johnson', 'IT', 'France'), (4, 'Sara Connor', 'HR', 'United States'), (5, 'David Brown', 'Finance', 'Canada');",SELECT DISTINCT department FROM Employees;,The SQL query uses the DISTINCT keyword to select unique values from the department column.
5369,agriculture,"Comprehensive data on agroecology, food justice, indigenous food systems, and urban agriculture.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the production of crops by year?,"CREATE TABLE crops_year (id INT, name VARCHAR(50), year INT, production INT); INSERT INTO crops_year (id, name, year, production) VALUES (1, 'Rice', 2020, 5000), (2, 'Wheat', 2020, 7000), (3, 'Soybean', 2020, 3000), (4, 'Barley', 2020, 4000), (5, 'Rice', 2019, 6000), (6, 'Wheat', 2019, 8000), (7, 'Soybean', 2019, 4000), (8, 'Barley', 2019, 5000);","SELECT year, SUM(production) as total_production FROM crops_year GROUP BY year;",This query groups crops by year and then calculates the total production of each year using the SUM() function and the GROUP BY clause.
5370,sustainable infrastructure,"Green building data, renewable energy infrastructure projects, carbon offset initiatives, and smart city technology adoption.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total carbon offset of initiatives in 'RegionC' in the 'CarbonOffsetInitiatives' table?,"CREATE TABLE CarbonOffsetInitiatives (id INT, initiative_name VARCHAR(50), location VARCHAR(50), carbon_offset_tons INT);",SELECT SUM(carbon_offset_tons) FROM CarbonOffsetInitiatives WHERE location = 'RegionC';,"The SQL query calculates the total carbon offset of initiatives in 'RegionC' by using the SUM function on the 'carbon_offset_tons' column of the 'CarbonOffsetInitiatives' table, and filtering on the 'location' column with the WHERE keyword."
5371,manufacturing,"Detailed records on ethical manufacturing, circular economy, workforce development, and industry 4.0.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",Which factories do not have any workers in the workforce development program?,"CREATE TABLE factories(factory_id INT, name TEXT, location TEXT); CREATE TABLE workers(worker_id INT, name TEXT, salary DECIMAL, factory_id INT, program TEXT);",SELECT f.name FROM factories f LEFT JOIN workers w ON f.factory_id = w.factory_id WHERE w.program IS NULL;,"This query performs a left join on the factories and workers tables using the factory_id column, then filters the results for rows where the program column is null, returning the names of factories that do not have any workers in the workforce development program."
5372,ethical fashion,"Extensive data on sustainable materials, fair labor practices, circular economy, and consumer awareness in ethical fashion.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the minimum and maximum number of employees in the supply chain, per country, in the year 2020?","CREATE TABLE SupplyChainEmployees (employee_count INT, country VARCHAR(255), year INT);","SELECT country, MIN(employee_count), MAX(employee_count) FROM SupplyChainEmployees WHERE year = 2020 GROUP BY country;","This query calculates the minimum and maximum number of employees in the supply chain, per country, in the year 2020. It groups the results by country and applies the MIN and MAX functions to calculate the minimum and maximum number of employees, respectively."
5373,journalism,"News reporting data, audience demographics, media ethics information, and investigative journalism projects.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",Get the percentage of male and female readers who prefer technology news in the UK.,"CREATE TABLE readers (id INT, age INT, gender VARCHAR(10), country VARCHAR(50), news_preference VARCHAR(50)); INSERT INTO readers (id, age, gender, country, news_preference) VALUES (1, 35, 'Male', 'UK', 'Technology'), (2, 45, 'Female', 'UK', 'Technology');","SELECT gender, PERCENTAGE := (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM readers WHERE country = 'UK' AND news_preference = 'Technology')) percentage FROM readers WHERE country = 'UK' AND news_preference = 'Technology' GROUP BY gender;",Calculate the percentage of male and female readers who prefer technology news in the UK using the PERCENTAGE and COUNT functions with the GROUP BY clause.
5374,ocean shipping,"Detailed records on cargo handling, fleet management, port operations, and regulatory compliance in ocean shipping.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many ports are available in the database?,"CREATE TABLE ports (port_code CHAR(3), port_name VARCHAR(20)); INSERT INTO ports (port_code, port_name) VALUES ('LA', 'Los Angeles'), ('NY', 'New York'), ('MIA', 'Miami'), ('HOU', 'Houston'), ('SFO', 'San Francisco');",SELECT COUNT(DISTINCT ports.port_code) as port_count FROM ports;,The SQL query counts the number of distinct port codes in the ports table to determine the number of available ports in the database.
5375,mining operations,"Mining operation data, environmental impact stats, workforce diversity, and resource depletion metrics.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many employees work in the 'Engineering' department in the 'human_resources' table?,"CREATE TABLE human_resources (id INT, name VARCHAR(50), role VARCHAR(50), department VARCHAR(50)); INSERT INTO human_resources (id, name, role, department) VALUES (1, 'John Doe', 'Manager', 'Human Resources'), (2, 'Jane Smith', 'Employee', 'Human Resources'), (3, 'Bob Johnson', 'Engineer', 'Engineering'), (4, 'Alice Williams', 'Engineer', 'Engineering');",SELECT COUNT(*) FROM human_resources WHERE department = 'Engineering';,"This query counts the number of rows in the 'human_resources' table where the 'department' is 'Engineering', returning the number of employees in that department."
5376,fine arts,"In-depth data on art history, curation, exhibition, and cultural impact in the fine arts.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the earliest year in which an artwork from the 'Rococo' movement was created?,"CREATE TABLE Artworks (id INT, creation_year INT, movement VARCHAR(20));",SELECT MIN(creation_year) FROM Artworks WHERE movement = 'Rococo';,This query finds the minimum creation_year for 'Rococo' artworks.
5377,fitness industry,"Workout data, membership demographics, wearable technology metrics, and wellness trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all members who have a 'Platinum' membership.,"CREATE TABLE member_details (member_id INT, membership VARCHAR(10)); INSERT INTO member_details (member_id, membership) VALUES (1, 'Gold'), (2, 'Platinum'), (3, 'Silver'), (4, 'Platinum'), (5, 'Gold');",SELECT member_id FROM member_details WHERE membership = 'Platinum';,The SQL query lists all members who have a 'Platinum' membership by selecting the member IDs where the membership is 'Platinum'. The WHERE keyword is used to filter the rows for the desired membership type.
5378,charitable organizations,"Financial data, program impact, donor demographics, and volunteer management.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total amount donated by donors from New York having a donation amount greater than $100?,"CREATE TABLE donors (id INT, name TEXT, state TEXT, donation_amount DECIMAL); INSERT INTO donors (id, name, state, donation_amount) VALUES (1, 'John Doe', 'New York', 120.00), (2, 'Jane Smith', 'New York', 200.00);",SELECT SUM(donation_amount) FROM donors WHERE state = 'New York' AND donation_amount > 100;,"This query calculates the total amount donated by donors from New York having a donation amount greater than $100 by using the SUM function on the donation_amount column, and filtering the data for donors from New York and with a donation amount greater than $100 using the WHERE clause."
5379,sustainable energy,"Renewable energy project data, energy efficiency stats, carbon offset programs, and clean energy policy trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average carbon offset achieved by carbon offset programs in the state of California since 2015?,"CREATE TABLE carbon_offset_programs (id INT, name VARCHAR(50), state VARCHAR(50), offset_quantity INT, start_year INT);",SELECT AVG(offset_quantity) FROM carbon_offset_programs WHERE state = 'California' AND start_year >= 2015;,The SQL query calculates the average carbon offset achieved by carbon offset programs in the state of California since 2015. It does this by selecting the average offset_quantity in the carbon_offset_programs table where the state is 'California' and the start_year is greater than or equal to 2015.
5380,waste management,"Waste generation metrics, recycling rates, landfill capacity data, and circular economy initiatives.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the minimum waste generation per capita for African countries?,"CREATE TABLE WasteGeneration (country VARCHAR(255), waste_generation_kg_per_capita DECIMAL(5,2), region VARCHAR(255)); INSERT INTO WasteGeneration (country, waste_generation_kg_per_capita, region) VALUES ('Nigeria', 0.7, 'Africa'), ('Egypt', 1.9, 'Africa'), ('South Africa', 2.8, 'Africa');",SELECT MIN(waste_generation_kg_per_capita) FROM WasteGeneration WHERE region = 'Africa';,Calculate the minimum waste generation per capita for the records with the 'Africa' region.
